asset,1,2,3,4,5,6
PYPL,2154318,7944,2053784,111314,20497,3
QCOM,1478935,781,1406638,93704,23134,3
RACE,71421,105,68668,3502,1824,3
REGN,137509,205,123911,16224,10654,3
RELX,179976,18804,177785,2904,926,3
RIO,1079827,4916,1055789,21402,4336,3
ROST,437220,1447,404793,38666,12916,3
RY,460773,4670,457720,3691,520,3
SAN,71274,9607,70034,2010,2260,3
SAP,380121,4521,373771,7645,1777,3
SBUX,1091449,4397,1036855,65863,11241,3
SCHW,995979,1362,902980,106580,33421,3
SHEL,959704,3005,924960,44307,17252,3
SHOP,2112903,66810,2072977,41084,8512,3
SHW,118965,109,107520,13242,9202,3
SLB,1362421,3308,1307508,59689,12411,3
SNOW,265184,136,243862,23188,13275,3
SNPS,302794,1108,286347,18516,11577,3
SNY,229442,22666,215915,18587,4656,3
SO,695703,663,660372,42199,8474,3
SPG,192606,423,177800,15422,4814,3
SPOT,366424,891,351783,12791,5448,3
STLA,285257,6044,279885,6953,2446,3
SYK,105387,72,95154,11827,6779,3
TD,719861,9709,706068,16509,3724,3
TEAM,209990,813,189587,22534,11218,3
TFC,1104589,2310,1018442,100900,23840,3
TGT,255833,117,235612,22207,14108,3
TMUS,662698,1276,612147,58940,14414,3
TRI,261745,2759,259330,3107,1686,3
TSLA,6088795,1571,5564510,658952,191033,3
TSM,1345290,2400,1286369,63474,18735,3
TTE,450088,33437,439534,13596,3081,3
TXN,895170,885,839802,63855,19309,3
T,351524,5756,337687,16755,10218,3
UBER,936072,5840,883649,59474,15694,3
UBS,459682,5025,439802,25902,8406,3
UL,448996,2972,436594,15090,4133,3
UNH,199977,753,180220,23227,17546,3
USB,883916,1875,789151,108561,27837,3
VALE,562028,64363,548292,18780,10607,3
VLO,559283,922,530469,23417,12611,3
VRTX,115186,293,101164,16555,8921,3
VZ,590098,5703,559937,34885,11622,3
WELL,380704,199,364146,16327,6172,3
WFC,1276610,7312,1203444,80316,21982,3
WM,140004,71,126537,17008,7155,3
ZTS,222208,394,205726,18011,9608,3
